id,y_true,y_pred,absolute_error
1771486215.271861,75.0,68.07109214879472,6.928907851205281
1771486225.298621,122.0,169.70306360529418,47.703063605294176
1771486235.324133,110.0,163.0157804598917,53.01578045989169
1771486245.349164,288.0,209.09168695805238,78.90831304194762
1771486255.371167,281.0,235.18181769259917,45.81818230740083
1771486265.395191,85.0,150.8406712468463,65.84067124684631
1771486275.419923,68.0,113.11352854390736,45.113528543907364
1771486285.441252,139.0,125.30004147454359,13.69995852545641
1771486295.458796,75.0,68.07109214879472,6.928907851205281
1771486305.484792,150.0,125.22309514887857,24.77690485112143
1771486315.509849,71.0,86.2382275178324,15.2382275178324
1771486325.523564,126.0,178.36563218463417,52.365632184634165
1771486335.548907,158.0,95.3081803713743,62.691819628625694
1771486345.5707,212.0,191.90710554179333,20.092894458206672
1771486355.598044,124.0,135.67845383135568,11.678453831355682
1771486365.625466,114.0,88.07153288021792,25.928467119782084
1771486375.648058,174.0,178.55362819497498,4.553628194974976
1771486385.673316,242.0,279.3112976495296,37.31129764952959
1771486395.698581,198.0,182.3114936765587,15.688506323441288
1771488159.660939,219.0,146.6456135715725,72.35438642842749
1771488169.691227,69.0,100.66339134964326,31.663391349643263
1771488179.718342,280.0,235.4717536036769,44.52824639632311
1771488189.744731,230.0,284.13968072574926,54.13968072574926
1771488199.76862,220.0,166.5571261240656,53.442873875934396
1771488209.798738,143.0,174.7517001077043,31.751700107704295
1771488219.826333,78.0,189.06055137911227,111.06055137911227
1771488229.850506,84.0,92.86437134294496,8.864371342944963
1771488239.876281,229.0,189.1758623489316,39.82413765106841
1771488249.901217,208.0,230.2619844126803,22.261984412680306
1771488259.925048,179.0,165.3850697733167,13.614930226683299
1771488269.949714,101.0,186.3924514990171,85.39245149901711
1771488279.97466,274.0,245.4709782980075,28.52902170199249
1771488289.997436,40.0,136.2340653108199,96.23406531081989
1771488300.024043,48.0,73.91027256015678,25.910272560156784
1771488310.049131,110.0,163.0157804598917,53.01578045989169
1771488320.073765,232.0,230.14173331652196,1.8582666834780355
1771488330.099256,59.0,134.18536033536822,75.18536033536822
1771488550.33249,216.0,170.65576194574703,45.34423805425297
1771488560.361887,65.0,53.72923884480225,11.270761155197746
1771488570.386852,310.0,213.58474731592622,96.41525268407378
1771488580.411802,277.0,254.06106202466918,22.938937975330816
1771488658.909464,196.0,164.1638609596704,31.836139040329613
1771488668.942382,143.0,174.7517001077043,31.751700107704295
1771488678.967488,85.0,58.37882693745455,26.621173062545452
1771488688.995493,48.0,73.91027256015678,25.910272560156784
1771488699.020872,131.0,157.01425963883105,26.01425963883105
1771488709.045227,83.0,123.83433596242709,40.83433596242709
1771488719.072976,39.0,58.4686736724457,19.468673672445703
1771488729.098825,92.0,123.47449269104541,31.474492691045413
1771488739.121329,98.0,79.93929115905644,18.060708840943562
1771488749.150579,219.0,146.6456135715725,72.35438642842749
1771488759.177034,69.0,111.54550875990512,42.54550875990512
1771488769.202488,158.0,95.3081803713743,62.691819628625694
1771488821.538093,162.0,125.04342485444745,36.95657514555255
1771488831.56826,68.0,120.33395775259488,52.333957752594884
1771488841.593812,214.0,122.10329364604544,91.89670635395456
1771488851.618122,336.0,254.9226747897597,81.0773252102403
1771488861.639145,91.0,174.51578955312337,83.51578955312337
1771488871.665532,54.0,93.67244614539979,39.67244614539979
1771488881.68718,115.0,92.68775339240395,22.31224660759605
1771488891.711089,141.0,154.60020867217975,13.600208672179747
1771488901.737484,283.0,184.78118571770753,98.21881428229247
1771488911.7638,65.0,53.72923884480225,11.270761155197746
1771488921.787789,53.0,125.21981271821261,72.21981271821261
1771488931.81386,135.0,103.56520878091511,31.434791219084886
1771488941.84063,181.0,84.17329376111893,96.82670623888107
1771488951.865112,265.0,201.48184993149977,63.51815006850023
1771488961.889277,77.0,61.99822774926005,15.001772250739947
1771488971.912647,148.0,132.175618882606,15.824381117394012
1771488981.936974,295.0,221.77392889122234,73.22607110877766
1771488991.960156,275.0,214.02865025276205,60.97134974723795
1771489001.98369,72.0,50.859338459277225,21.140661540722775
1771489012.007067,102.0,106.92918500252972,4.929185002529721
1771489022.038639,262.0,179.7516611004495,82.2483388995505
1771489032.066803,155.0,157.9351671894437,2.935167189443689
1771489042.082142,59.0,69.4757150737422,10.475715073742194
1771489052.095164,206.0,162.37809618375738,43.62190381624262
1771489063.01043,69.0,100.66339134964326,31.663391349643263
1771489073.035255,66.0,122.53549577691773,56.53549577691773
1771489083.063623,156.0,159.93706843463852,3.937068434638519
1771489093.093798,77.0,78.90917194278398,1.9091719427839848
1771489103.120406,186.0,199.01864200988092,13.01864200988092
1771489113.145165,185.0,158.36452405128574,26.63547594871426
1771489123.171801,47.0,46.59573859486116,0.4042614051388398
1771489133.19497,306.0,249.1507407188866,56.849259281113405
1771489143.219803,55.0,42.64913432963907,12.350865670360932
1771489153.244903,42.0,80.54657032878033,38.546570328780334
1771489163.267813,155.0,157.9351671894437,2.935167189443689
1771489173.292278,200.0,179.15539665935964,20.84460334064036
1771489183.317953,86.0,155.22757789951248,69.22757789951248
1771489193.330254,64.0,119.48384406500097,55.483844065000966
1771489203.355567,129.0,190.14593543639543,61.14593543639543
1771489213.380792,199.0,111.81820897916504,87.18179102083496
1771489223.407315,129.0,106.83685612017888,22.16314387982112
1771489233.433839,71.0,121.34323817635367,50.343238176353665
1771489243.460176,52.0,207.82684441150116,155.82684441150116
1771489253.48376,158.0,95.3081803713743,62.691819628625694
1771489263.508697,37.0,80.11184913638411,43.11184913638411
1771489273.535109,252.0,240.84721173414746,11.152788265852536
1771489623.234674,141.0,176.8822723504105,35.88227235041049
1771489633.259302,47.0,100.85985576049748,53.85985576049748
1771489643.284695,219.0,146.6456135715725,72.35438642842749
1771489653.309913,140.0,172.146765062155,32.146765062155
1771489663.338209,55.0,74.15429264703333,19.15429264703333
1771489673.362349,78.0,53.04535107084395,24.95464892915605
1771489683.38806,128.0,98.72418096807095,29.275819031929046
1771489693.416687,268.0,210.87358259572397,57.126417404276026
1771489703.441108,66.0,122.53549577691774,56.53549577691774
1771489713.467282,168.0,142.2101684258435,25.789831574156494
1771489723.494998,83.0,68.42634720460588,14.573652795394125
1771489733.520484,69.0,111.54550875990512,42.54550875990512
1771489743.547812,236.0,230.5772242337341,5.422775766265886
1771489753.573142,265.0,201.48184993149977,63.51815006850023
1771489763.597051,126.0,178.36563218463417,52.365632184634165
1771489773.625249,54.0,93.67244614539979,39.67244614539979
1771489783.64427,148.0,132.175618882606,15.824381117394012
1771489793.667581,132.0,121.22650413525089,10.773495864749108
1771489803.6902,199.0,111.81820897916501,87.18179102083499
1771489813.708652,216.0,170.65576194574703,45.34423805425297
1771489828.890879,230.0,284.13968072574926,54.13968072574926
1771489838.915631,68.0,113.11352854390738,45.11352854390738
1771489848.944666,272.0,192.32195136984916,79.67804863015084
1771489858.970802,217.0,231.2948088274103,14.294808827410293
1771489868.99314,135.0,128.46271126779868,6.5372887322013185
1771489879.014181,68.0,120.33395775259487,52.33395775259487
1771489889.036956,160.0,114.83926457785545,45.160735422144555
1771489899.064072,192.0,216.21577209994737,24.215772099947372
1771489909.084447,196.0,160.67075589317804,35.32924410682196
1771490009.31553,178.0,128.04834082390533,49.951659176094665
1771490019.344757,252.0,240.84721173414746,11.152788265852536
1771490029.365888,131.0,197.04595872817097,66.04595872817097
1771490039.388279,263.0,262.294905161449,0.7050948385510196
1771490049.412021,88.0,114.14481794014834,26.144817940148343
1771490059.424643,94.0,97.80444810874128,3.8044481087412834
1771490069.446677,242.0,279.3112976495296,37.31129764952959
1771490079.520245,25.0,146.27950555690472,121.27950555690472
1771490089.540523,129.0,190.14593543639543,61.14593543639543
1771490099.562656,128.0,72.73110766827678,55.26889233172322
1771490109.584996,245.0,252.45178834291073,7.4517883429107314
1771490119.606014,200.0,151.24730648245344,48.75269351754656
1771490129.628903,74.0,131.08564973096998,57.085649730969976
1771490139.651159,235.0,170.4432857674567,64.5567142325433
1771490149.671731,311.0,174.82795264879474,136.17204735120526
1771490159.70408,208.0,230.2619844126803,22.261984412680306
1771490169.727634,78.0,53.04535107084395,24.95464892915605
1771490179.745244,216.0,170.65576194574703,45.34423805425297
1771490189.768709,144.0,182.84144086141268,38.84144086141268
1771490199.792968,92.0,77.8291328074616,14.170867192538395
1771490209.810653,336.0,254.9226747897597,81.0773252102403
1771490219.835827,121.0,169.2311988217084,48.231198821708404
1771490229.85083,206.0,162.37809618375738,43.62190381624262
1771490239.875272,151.0,165.84427759702953,14.844277597029532
1771490249.899469,275.0,251.35787504309377,23.64212495690623
